,date,sum_payment,sum_deposit,sum_balance,sum_balance_harmony,sum_balance_check,sum_balance_fastpay,index_value,dollar_value,sum_harmony_check
0,2020-03-24,401901615955.0,2218489561287.0,9917504814047.0,7059404659.0,394842211296.0,0.0,0.0,0.0,401901615955.0
1,2020-03-25,636920368821.0,2007216109722.0,9440264602330.0,11787568634.0,625132800187.0,0.0,0.0,0.0,636920368821.0
2,2020-03-28,524616257062.0,3203855971772.0,11951952715397.0,11799042441.0,512817214621.0,0.0,0.0,0.0,524616257062.0
3,2020-03-29,708772712549.0,2878849352946.0,12602080933658.0,8829985952.0,699942726597.0,0.0,0.0,0.0,708772712549.0
4,2020-03-30,496339666827.0,1942299217259.0,11936772157908.0,8033257498.0,488306409329.0,0.0,0.0,0.0,496339666827.0
5,2020-04-04,435669094211.0,3693288440158.0,14305995495584.0,9061913247.0,426607180964.0,0.0,0.0,155316.66666666666,435669094211.0
6,2020-04-05,810110580537.0,2998820640050.0,15059608809896.0,16022454324.0,794088126213.0,0.0,0.0,155343.33333333334,810110580537.0
7,2020-04-06,740637119390.0,4461748626034.0,16079184656257.0,13085250406.0,727551868984.0,0.0,0.0,157360.0,740637119390.0
8,2020-04-07,656385319225.0,4971313625124.0,16983005000184.0,12725575757.0,643659743468.0,0.0,0.0,157360.0,656385319225.0
9,2020-04-08,1456899803165.0,3754630397030.0,20775914350718.0,11603799015.0,1445296004150.0,0.0,0.0,156393.33333333334,1456899803165.0
10,2020-04-11,890596470867.0,3606634249780.0,22481256090374.0,7024747565.0,883571723302.0,0.0,0.0,156043.33333333334,890596470867.0
11,2020-04-12,1266707837486.0,3887397725798.0,17634340948199.0,19157785731.0,1247550051755.0,0.0,0.0,156026.66666666666,1266707837486.0
12,2020-04-13,1080551273910.0,4119528555185.0,16218398043039.0,21405818545.0,1059145455365.0,0.0,0.0,156033.33333333334,1080551273910.0
13,2020-04-14,1351742517802.0,16736713503561.0,29372973699472.0,21065421626.0,1330677096176.0,0.0,0.0,156033.33333333334,1351742517802.0
14,2020-04-15,1571882166957.0,9377886660746.0,36883926942957.0,32706718497.0,1539175448460.0,0.0,0.0,156063.33333333334,1571882166957.0
15,2020-04-18,906202185397.0,3981296340379.0,43613971317300.0,20906947128.0,885295238269.0,0.0,0.0,154036.66666666666,906202185397.0
16,2020-04-19,3954772882577.0,4682942070539.0,24897925277956.0,110000059004.0,3844772823573.0,0.0,0.0,153400.0,3954772882577.0
17,2020-04-20,1581008215032.0,5598417616226.0,22226766156672.0,34640164587.0,1546368050445.0,0.0,0.0,152890.0,1581008215032.0
18,2020-04-21,1824837359793.0,6050230786586.0,22861540286671.0,31673805394.0,1793163554399.0,0.0,0.0,153203.33333333334,1824837359793.0
19,2020-04-22,1689880915048.0,6235697189372.0,23512099752151.0,38433896445.0,1651447018603.0,0.0,0.0,154203.33333333334,1689880915048.0
20,2020-04-25,2116772521671.0,8690374617086.0,30141119615993.0,19288264255.0,2097484257416.0,0.0,0.0,155036.66666666666,2116772521671.0
21,2020-04-26,2162556909530.0,7594357275442.0,33410319408990.0,38968500943.0,2123588408587.0,0.0,0.0,155736.66666666666,2162556909530.0
23,2020-04-28,2431402062757.0,8597522544473.0,34844316627200.0,33820181533.0,2397581881224.0,0.0,0.0,155703.33333333334,2431402062757.0
24,2020-04-29,2285162891481.0,6722224833449.0,36741431095886.0,28531218353.0,2256631673128.0,0.0,0.0,155703.33333333334,2285162891481.0
26,2020-05-02,1771874735979.0,11139538234167.0,45146400241061.0,35858227291.0,1736016508688.0,0.0,0.0,156053.33333333334,1771874735979.0
27,2020-05-03,2569483007879.0,11459084126656.0,49210069675960.0,46582328935.0,2522900678944.0,0.0,0.0,156036.66666666666,2569483007879.0
28,2020-05-04,4293577674552.0,10004167846827.0,46314003719728.0,26282402014.0,4267295272538.0,0.0,0.0,156060.0,4293577674552.0
29,2020-05-05,2823124330402.0,8033180717408.0,40986579242315.0,36482185802.0,2786642144600.0,0.0,0.0,156036.66666666666,2823124330402.0
30,2020-05-06,2239695673383.0,6521026856970.0,36440645042502.0,45043927904.0,2194651745479.0,0.0,0.0,156740.0,2239695673383.0
31,2020-05-09,2874538023508.0,9801873561371.0,38304038936053.0,38816304364.0,2835721719144.0,0.0,0.0,157716.66666666666,2874538023508.0
32,2020-05-10,2936733752518.0,7387313147082.0,37718776781742.0,47129034138.0,2889604718380.0,0.0,0.0,160403.33333333334,2936733752518.0
33,2020-05-11,3349380045096.0,6560649909377.0,34621369189645.0,48858810772.0,3300521234324.0,0.0,0.0,162703.33333333334,3349380045096.0
34,2020-05-12,2594957856787.0,6473226425641.0,33197123626310.0,54365787954.0,2540592068833.0,0.0,0.0,164703.33333333334,2594957856787.0
35,2020-05-13,2236820725931.0,5822528709099.0,32373655641136.0,41244064486.0,2195576661445.0,0.0,0.0,167406.66666666666,2236820725931.0
36,2020-05-16,3064170533224.0,4558659595132.0,32563647914111.0,63310512039.0,3000860021185.0,0.0,0.0,168203.33333333334,3064170533224.0
38,2020-05-18,2478454038566.0,5824013803181.0,28323695574803.0,59934235265.0,2418519803301.0,0.0,0.0,171436.66666666666,2478454038566.0
39,2020-05-19,3170214791812.0,6308949359807.0,31663544434491.0,68366788833.0,3101848002979.0,0.0,0.0,171703.33333333334,3170214791812.0
40,2020-05-20,3374978179176.0,5242357715397.0,33334388547269.0,64292685413.0,3310685493763.0,0.0,0.0,172570.0,3374978179176.0
41,2020-05-23,2660145721422.0,3679215571060.0,34121975898874.0,59789309648.0,2600356411774.0,0.0,0.0,173036.66666666666,2660145721422.0
45,2020-05-30,3455904424416.0,4266402241914.0,40297303705233.0,57952340544.0,3397952083872.0,0.0,0.0,170883.33333333334,3455904424416.0
47,2020-06-01,2849783206771.0,2535251644011.0,23120683648877.0,59454666660.0,2790328540111.0,0.0,0.0,170860.0,2849783206771.0
49,2020-06-06,2501949595616.0,5116915139030.0,24687159849744.0,63328940534.0,2438620655082.0,0.0,0.0,170146.66666666666,2501949595616.0
51,2020-06-08,2797251054523.0,5406462446509.0,28237758014131.0,60465718480.0,2736785336043.0,0.0,0.0,169366.66666666666,2797251054523.0
52,2020-06-09,2435322797286.0,4558561100585.0,26453700828582.0,50501996265.0,2384820801021.0,0.0,0.0,169336.66666666666,2435322797286.0
53,2020-06-10,3583932299912.0,4078369929699.0,25022272205055.0,63465765965.0,3520466533947.0,0.0,0.0,171470.0,3583932299912.0
54,2020-06-13,2530107533222.0,6288629022801.0,28585544869791.0,51997003369.0,2478110529853.0,0.0,0.0,177556.66666666666,2530107533222.0
55,2020-06-14,3700074771852.0,5946052473321.0,31132955384435.0,85168196200.0,3614906575652.0,0.0,0.0,177570.0,3700074771852.0
56,2020-06-15,3546500271281.0,5637827903140.0,31174133286747.0,78014707079.0,3468485564202.0,0.0,0.0,178403.33333333334,3546500271281.0
57,2020-06-16,3845423397034.0,5121073339016.0,29741359503023.0,91059101673.0,3754364295361.0,0.0,0.0,181003.33333333334,3845423397034.0
58,2020-06-20,3005455362508.0,7612095406823.0,34588817691103.0,72183805946.0,2933271556562.0,0.0,0.0,185150.0,3005455362508.0
59,2020-06-21,4090237282923.0,8953948065920.0,38104879261094.0,58450222099.0,4031787060824.0,0.0,0.0,187316.66666666666,4090237282923.0
60,2020-06-22,4408218154197.0,8681013708390.0,39165294204187.0,100978861046.0,4307239293151.0,0.0,0.0,187983.33333333334,4408218154197.0
61,2020-06-23,4087680647024.0,9448513403949.0,40994465924392.0,19622960960.0,4068057686064.0,0.0,0.0,193283.33333333334,4087680647024.0
94,2020-08-04,4991865930629.0,7710339301618.0,36198882886311.0,157531415337.0,4834334515292.0,0.0,0.0,221630.0,4991865930629.0
95,2020-08-05,3918950483712.0,6609738218203.0,40299599047247.0,142897334060.0,3776053149652.0,0.0,0.0,225650.0,3918950483712.0
97,2020-08-09,3754476125450.0,8147927337282.0,44595882260781.0,115104365710.0,3639371759740.0,0.0,0.0,221983.33333333334,3754476125450.0
99,2020-08-11,4671769547513.0,5342621178068.0,29816192466491.0,144995938977.0,4526773608536.0,0.0,0.0,214516.66666666666,4671769547513.0
100,2020-08-12,4398393116892.0,5682796908033.0,28090194347534.0,126104253577.0,4272288863315.0,0.0,0.0,217583.33333333334,4398393116892.0
102,2020-08-15,3236661749922.0,7001432316211.0,33850621401148.0,105086223386.0,3131575526536.0,0.0,0.0,220483.33333333334,3236661749922.0
137,2020-10-05,3312690031232.0,1623242024085.0,23249550835215.0,112738512578.0,3199951518654.0,0.0,0.0,277833.3333333333,3312690031232.0
138,2020-10-06,2932185880722.0,1791424925430.0,22275118891716.0,81662474499.0,2850523406223.0,0.0,0.0,288670.0,2932185880722.0
139,2020-10-07,2952339540540.0,2594454949850.0,23532882207939.0,84301641074.0,2868037899466.0,0.0,0.0,292010.0,2952339540540.0
140,2020-10-10,2067578136951.0,2083442108430.0,24185781860370.0,73223139298.0,1994354997653.0,0.0,0.0,297023.3333333333,2067578136951.0
141,2020-10-11,2944139236799.0,2829418416946.0,28268198368011.0,10825329634.0,2933313907165.0,0.0,0.0,307486.6666666667,2944139236799.0
201,2021-01-04,3419934826062.0,1657497074410.0,21464275060586.0,93204914244.0,3326729911818.0,0.0,0.0,257010.0,3419934826062.0
202,2021-01-05,2775143195016.0,1566927178821.0,20377186771837.0,127818349745.0,2647324845271.0,0.0,0.0,258570.0,2775143195016.0
206,2021-01-11,3378648414412.0,1863733703760.0,20927117392967.0,9485120778.0,3369163293634.0,0.0,0.0,248826.66666666666,3378648414412.0
207,2021-01-12,2430628163144.0,1220528674295.0,18585552669467.0,88646861218.0,2341981301926.0,0.0,0.0,248476.66666666666,2430628163144.0
208,2021-01-13,3006777256559.0,953704646581.0,17082222630144.0,7767911900.0,2999009344659.0,0.0,0.0,246156.66666666666,3006777256559.0
386,2021-10-10,2427683670191.0,815576212257.0,9852947110526.0,183083347.0,2427500586844.0,0.0,1455612.0,276630.0,2427683670191.0
387,2021-10-11,2302097717482.0,867094529936.0,10033582349490.0,97736628604.0,2204361088878.0,0.0,1457493.6,274006.6666666667,2302097717482.0
388,2021-10-12,1892236773976.0,770669205066.0,9590166452538.0,77421328619.0,1814815445357.0,0.0,1418683.0,271436.6666666667,1892236773976.0
389,2021-10-13,2055066048968.0,2661839541667.0,7903033132191.0,104070012626.0,1950996036342.0,0.0,1397386.1,271480.0,2055066048968.0
390,2021-10-16,1858774625010.0,922992704920.0,9193232693597.0,79140912432.0,1779633712578.0,0.0,1437465.5,272676.6666666667,1858774625010.0
391,2021-10-17,2100677028028.0,860992043407.0,9948186820789.0,70940163824.0,2029736864204.0,0.0,1436109.9,271973.3333333333,2100677028028.0
392,2021-10-18,1943722472751.0,899183334005.0,8794628369399.0,100284552947.0,1843437919804.0,0.0,1436916.8,272306.6666666667,1943722472751.0
393,2021-10-19,1809987604729.0,993055530558.0,8505488964054.0,59477908368.0,1750509696361.0,0.0,1449496.9,274536.6666666667,1809987604729.0
394,2021-10-20,2491477911613.0,668383691167.0,8343482493083.0,64874471613.0,2426603440000.0,0.0,1436357.1,273290.0,2491477911613.0
395,2021-10-23,1716751768509.0,931492338170.0,8156789552905.0,58194118178.0,1658557650331.0,0.0,1407758.0,275403.3333333333,1716751768509.0
396,2021-10-25,2195895181618.0,1159141867369.0,8309599758033.0,100821630400.0,2095073551218.0,0.0,1384133.5,275933.3333333333,2195895181618.0
397,2021-10-26,2065549251416.0,989131231586.0,7846263647360.0,75551419674.0,1989997831742.0,0.0,1384452.2,275150.0,2065549251416.0
398,2021-10-27,2212952092260.0,935847624579.0,7471559260750.0,79275456019.0,2133676636241.0,0.0,1393960.8,276753.3333333333,2212952092260.0
399,2021-10-30,1799605568884.0,1093087506397.0,8532050624452.0,60326455763.0,1739279113121.0,0.0,1375669.2,275640.0,1799605568884.0
400,2021-10-31,2644236108644.0,867106396440.0,7684298086054.0,69259020512.0,2574977088132.0,0.0,1340290.8,275376.6666666667,2644236108644.0
401,2021-11-01,2498631456863.0,976242448036.0,7826867839591.0,72375644351.0,2426255812512.0,0.0,1361414.8,275383.3333333333,2498631456863.0
402,2021-11-02,1483840473405.0,1441344086895.0,8789950085270.0,54728303493.0,1429112169912.0,0.0,1376091.9,275730.0,1483840473405.0
403,2021-11-03,2258829348270.0,837453610627.0,7333228750195.0,51626111101.0,2207203237169.0,0.0,1398416.5,278016.6666666667,2258829348270.0
404,2021-11-06,1265955057619.0,1288945572290.0,7555080246761.0,33010412108.0,1232944645511.0,0.0,1440651.5,278373.3333333333,1265955057619.0
405,2021-11-07,2034498175795.0,1170303455970.0,9031011314368.0,59102405409.0,1975395770386.0,0.0,1430892.2,279063.3333333333,2034498175795.0
406,2021-11-08,2201634762718.0,1367165240082.0,8902036981195.0,47138728314.0,2154496034404.0,0.0,1434378.9,280440.0,2201634762718.0
407,2021-11-09,1838989425912.0,1083036413114.0,9069976761994.0,73186402610.0,1765803023302.0,0.0,1447674.8,281013.3333333333,1838989425912.0
408,2021-11-10,2037239630190.0,1008988075008.0,7968019648544.0,58663072797.0,1978576557393.0,0.0,1456479.9,282980.0,2037239630190.0
410,2021-11-13,1580727392770.0,835394631600.0,8394062121662.0,56053143502.0,1524674249268.0,0.0,1439244.4,285993.3333333333,1580727392770.0
411,2021-11-14,2336449972588.0,1042482542121.0,7957015919057.0,63830777719.0,2272619194869.0,0.0,1442515.7,285870.0,2336449972588.0
412,2021-11-15,2120921405425.0,1766580672129.0,8930831653166.0,139477793530.0,1981443611895.0,0.0,1416298.7,277843.3333333333,2120921405425.0
413,2021-11-16,1792897097006.0,902938418820.0,8127344087852.0,120483956585.0,1672413140421.0,0.0,1408595.7,279743.3333333333,1792897097006.0
414,2021-11-17,1858161518844.0,1863415471398.0,7172462875726.0,54775452656.0,1803386066188.0,0.0,1410778.6,279443.3333333333,1858161518844.0
415,2021-11-20,2453717732234.0,1586281496530.0,6940869542800.0,103325995404.0,2350391736830.0,0.0,1383491.9,280226.6666666667,2453717732234.0
416,2021-11-21,2224966767340.0,1775248309411.0,6764025395188.0,78063428648.0,2146903338692.0,0.0,1386935.3,282163.3333333333,2224966767340.0
417,2021-11-22,1702325698007.0,1019535332741.0,7029477937200.0,44008469066.0,1658317228941.0,0.0,1407132.9,283273.3333333333,1702325698007.0
418,2021-11-23,2426948991074.0,1998375000956.0,7112537157368.0,61044334533.0,2365904656541.0,0.0,1404551.7,285320.0,2426948991074.0
419,2021-11-24,2230528953879.0,847170647612.0,6297578379086.0,44148280632.0,2186380673247.0,0.0,1394105.7,290073.3333333333,2230528953879.0
420,2021-11-27,1440123082200.0,908726521718.0,6543736386656.0,36051963056.0,1404071119144.0,0.0,1366713.9,282920.0,1440123082200.0
421,2021-11-28,1671033502137.0,856341306362.0,5498811473217.0,93116368456.0,1577917133681.0,0.0,1368005.2,276290.0,1671033502137.0
422,2021-11-29,1676622302512.0,811696134497.0,5122620656108.0,56345023660.0,1620277278852.0,0.0,1363939.0,275270.0,1676622302512.0
423,2021-11-30,1772070191423.0,1081663045561.0,5121130740959.0,60114601436.0,1711955589987.0,0.0,1357128.9,289506.6666666667,1772070191423.0
424,2021-12-01,1588186177414.0,999505100664.0,4973290626348.0,42969769438.0,1545216407976.0,0.0,1340071.9,264223.3333333333,1588186177414.0
425,2021-12-04,1634056474600.0,1017788133302.0,5196306144264.0,64449680515.0,1569606794085.0,0.0,1334765.9,277703.3333333333,1634056474600.0
426,2021-12-05,1859904034829.0,804814885039.0,5260840998665.0,76341226842.0,1783562807987.0,0.0,1343202.7,278976.6666666667,1859904034829.0
427,2021-12-06,1680379955841.0,768691892792.0,4952743105198.0,40410579209.0,1639969376632.0,0.0,1342353.6,278346.6666666667,1680379955841.0
428,2021-12-07,1501212792493.0,944277646660.0,4661572698498.0,47812826645.0,1453399965848.0,0.0,1338016.0,278150.0,1501212792493.0
429,2021-12-08,1761677812904.0,813551148078.0,4257635101453.0,44535602961.0,1717142209943.0,0.0,1349389.3,277873.3333333333,1761677812904.0
430,2021-12-11,1302569589584.0,922295053355.0,4841080159134.0,39884618447.0,1262684971137.0,0.0,1344441.6,276976.6666666667,1302569589584.0
431,2021-12-12,1847859146532.0,920788161023.0,4747231224262.0,47605392253.0,1800253754279.0,0.0,1320776.7,276893.3333333333,1847859146532.0
432,2021-12-13,1529397582111.0,928229314343.0,4337027736914.0,58738077225.0,1470659504886.0,0.0,1295550.1,275450.0,1529397582111.0
433,2021-12-14,1374548219563.0,1284436412642.0,4789721966223.0,72475899436.0,1302072320127.0,0.0,1291839.4,274263.3333333333,1374548219563.0
434,2021-12-15,1748975370238.0,1662806044825.0,4129425650671.0,82937957341.0,1666037412897.0,0.0,1293237.9,274123.3333333333,1748975370238.0
435,2021-12-18,1458346641400.0,1015438065362.0,4529984788565.0,61004057525.0,1397342583875.0,0.0,1305535.5,274300.0,1458346641400.0
436,2021-12-19,2108831099080.0,920438114529.0,4464578822119.0,108657824927.0,2000173274153.0,0.0,1291675.8,274100.0,2108831099080.0
437,2021-12-20,1977902641214.0,1003436158696.0,4025368656540.0,87806607272.0,1890096033942.0,0.0,1301542.3,273913.3333333333,1977902641214.0
438,2021-12-21,1435665732285.0,763327353937.0,3807656954991.0,161445710403.0,1274220021882.0,0.0,1318359.7,273293.3333333333,1435665732285.0
439,2021-12-22,1471515272112.0,1257233530826.0,4305494934607.0,89727034742.0,1381788237370.0,0.0,1359024.5,273630.0,1471515272112.0
440,2021-12-25,1218518732431.0,1406033061342.0,5796429247718.0,36831892506.0,1181686839925.0,0.0,1385504.6,273966.6666666667,1218518732431.0
441,2021-12-26,2126851797013.0,1179701445937.0,6088848227823.0,96087811677.0,2030763985336.0,0.0,1383987.9,273956.6666666667,2126851797013.0
442,2021-12-27,1653990901538.0,1074815791267.0,6022121824002.0,103761556202.0,1550229345336.0,0.0,1400314.6,273966.6666666667,1653990901538.0
443,2021-12-28,1197485917650.0,905412010515.0,5356871595962.0,70268027410.0,1127217890240.0,0.0,1399910.9,273920.0,1197485917650.0
444,2021-12-29,1319715852860.0,730404351002.0,5149825455300.0,114120794852.0,1205595058008.0,0.0,1397311.4,274336.6666666667,1319715852860.0
445,2022-01-01,1118941090749.0,833549635770.0,5012619709967.0,75394754117.0,1043546336632.0,0.0,1378777.4,273896.6666666667,1118941090749.0
446,2022-01-02,1591421741270.0,1148249428544.0,5072698018121.0,125470511887.0,1465951229383.0,0.0,1379041.1,273910.0,1591421741270.0
447,2022-01-03,1495486327090.0,868908755352.0,4774214961673.0,98269263631.0,1397217063459.0,0.0,1376049.3,273896.6666666667,1495486327090.0
448,2022-01-04,2000730027710.0,1394631557262.0,4537958073855.0,96154184985.0,1904575842725.0,0.0,1362828.6,271196.6666666667,2000730027710.0
449,2022-01-05,1258729915532.0,746416749168.0,4053555414890.0,120749962413.0,1137979953119.0,0.0,1363095.8,269846.6666666667,1258729915532.0
450,2022-01-08,1016846454280.0,785791256269.0,4520732387794.0,58343823669.0,958502630611.0,0.0,1362458.0,269173.3333333333,1016846454280.0
451,2022-01-09,1837897709775.0,725430744791.0,4417771228784.0,192728761257.0,1645168948518.0,0.0,1336820.7,268476.6666666667,1837897709775.0
452,2022-01-10,1465043861171.0,949919999418.0,4607927699766.0,120853361191.0,1344190499980.0,0.0,1332755.6,267663.3333333333,1465043861171.0
453,2022-01-11,1185366594847.0,726801468049.0,4718395164554.0,108319678921.0,1077046915926.0,0.0,1334703.5,267146.6666666667,1185366594847.0
454,2022-01-12,1392642916684.0,546270007120.0,4381085868853.0,115718907876.0,1276924008808.0,0.0,1334265.0,266783.3333333333,1392642916684.0
456,2022-01-15,1189896904045.0,644291223479.0,4003198916291.0,145642970572.0,1044253933473.0,0.0,1322569.8,271940.0,1189896904045.0
457,2022-01-16,1783410492737.0,915368454258.0,4216301239482.0,147328651758.0,1636081840979.0,0.0,1310804.5,275003.3333333333,1783410492737.0
458,2022-01-17,2245190633243.0,875704033994.0,3665974831611.0,107881649268.0,2137308983975.0,0.0,1306472.1,272570.0,2245190633243.0
459,2022-01-18,1363794335757.0,948498711661.0,3928008001137.0,161956532480.0,1201837803277.0,0.0,1275966.4,273113.3333333333,1363794335757.0
460,2022-01-19,1479429256576.0,706627934921.0,3638490485230.0,131041747058.0,1348387509518.0,0.0,1279393.9,274970.0,1479429256576.0
461,2022-01-22,1237650208558.0,1061019363050.0,4516345838779.0,97610174905.0,1140040033653.0,0.0,1281801.0,275393.3333333333,1237650208558.0
462,2022-01-23,1783670834477.0,955678146568.0,4228409348645.0,99660809948.0,1684010024529.0,0.0,1256512.8,276596.6666666667,1783670834477.0
463,2022-01-24,1536514886876.0,984513137053.0,4126062483147.0,216193458274.0,1320321428602.0,0.0,1234707.7,280013.3333333333,1536514886876.0
464,2022-01-25,1935287803495.0,986803415883.0,4066769835027.0,88576693170.0,1846711110325.0,0.0,1207926.7,277970.0,1935287803495.0
465,2022-01-26,1783215013972.0,1148696148710.0,4135756166868.0,104107082263.0,1679107931709.0,0.0,1229368.4,279423.3333333333,1783215013972.0
466,2022-01-29,1555263984549.0,1004821895169.0,4939361541935.0,59847306234.0,1495416678315.0,0.0,1258995.1,280373.3333333333,1555263984549.0
467,2022-01-30,1816511935698.0,881043478125.0,5136752179533.0,183793829528.0,1632718106170.0,0.0,1284647.4,278676.6666666667,1816511935698.0
468,2022-01-31,1935620524610.0,870532198666.0,5489525474820.0,162224071002.0,1773396453608.0,0.0,1294619.1,277396.6666666667,1935620524610.0
469,2022-02-01,1381290854352.0,931168188163.0,5527836663543.0,146450355911.0,1234840498441.0,0.0,1301234.0,275310.0,1381290854352.0
470,2022-02-02,2290305772677.0,1392798220371.0,4967828803760.0,120177101897.0,2170128670780.0,0.0,1301161.5,272973.3333333333,2290305772677.0
471,2022-02-05,2327268984269.0,1170243828934.0,4518758560506.0,100858730377.0,2226410253892.0,0.0,1304411.1,265203.3333333333,2327268984269.0
472,2022-02-06,1569961197019.0,1514190584348.0,5088297656001.0,148460565709.0,1421500631310.0,0.0,1282050.0,265486.6666666667,1569961197019.0
473,2022-02-07,1378348578172.0,687387844006.0,4906062830691.0,166322611405.0,1212025966767.0,0.0,1274467.5,265043.3333333333,1378348578172.0
474,2022-02-08,1325390881678.0,967198805420.0,5457512262360.0,96643114488.0,1228747767190.0,0.0,1281075.4,260743.33333333334,1325390881678.0
475,2022-02-09,1289095014764.0,862430130612.0,8347213054854.0,137347936577.0,1151747078187.0,0.0,1284160.1,262230.0,1289095014764.0
476,2022-02-12,1173207917288.0,903572913800.0,8214918292363.0,123815673592.0,1049392243696.0,0.0,1284061.7,264380.0,1173207917288.0
477,2022-02-13,2051000642852.0,1297867353440.0,7139216670528.0,460055209479.0,1590945433373.0,0.0,1275996.2,267240.0,2051000642852.0
478,2022-02-14,1474943234760.0,962456515415.0,4512398764126.0,136273868525.0,1338669366235.0,0.0,1283324.2,269650.0,1474943234760.0
479,2022-02-16,1602576101679.0,804515293922.0,5117427335859.0,427387590623.0,1175188511056.0,0.0,1282411.4,266083.3333333333,1602576101679.0
481,2022-02-19,1537052494230.0,1176610052238.0,5410524300489.0,469993553295.0,1067058940935.0,0.0,1282190.8,261043.33333333334,1537052494230.0
482,2022-02-20,2045292661671.0,934855167090.0,5819610602123.0,527581860184.0,1517710801487.0,0.0,1274304.7,255646.66666666666,2045292661671.0
483,2022-02-21,2291466997667.0,1389699131682.0,4943636399183.0,160488259932.0,2130978737735.0,0.0,1281589.4,257096.66666666666,2291466997667.0
484,2022-02-22,1598717910971.0,1144019508759.0,4999297268256.0,377587342457.0,1221130568514.0,0.0,1284876.1,260206.66666666666,1598717910971.0
485,2022-02-23,2183269428175.0,1234853991562.0,4430332703797.0,296746174184.0,1886523253991.0,0.0,1288310.3,260440.0,2183269428175.0
486,2022-02-26,1028496456518.0,731305899923.0,4614615753868.0,268700833602.0,759795622916.0,0.0,1282870.8,260136.66666666666,1028496456518.0
487,2022-02-27,1310920878637.0,848434320289.0,4445601669761.0,495415481467.0,815505397170.0,0.0,1279292.7,259900.0,1310920878637.0
488,2022-02-28,1887948068627.0,986182445175.0,3988903316955.0,530796273522.0,1357151795105.0,0.0,1281934.2,259833.33333333334,1887948068627.0
489,2022-03-02,1334116766460.0,812945863370.0,3526879491789.0,429906297111.0,904210469349.0,0.0,1281190.8,256756.66666666666,1334116766460.0
490,2022-03-05,1387440783244.0,1577176031590.0,4421978739121.0,389709163904.0,997731619340.0,0.0,1298782.7,254920.0,1387440783244.0
491,2022-03-06,1737743977408.0,1346163702356.0,5066152858343.0,519749013704.0,1217994963704.0,0.0,1322598.5,253126.66666666666,1737743977408.0
492,2022-03-07,1425646535815.0,1308902478048.0,5692863362565.0,500865468034.0,924781067781.0,0.0,1342906.7,257113.33333333334,1425646535815.0
493,2022-03-08,1184064366850.0,1386562078703.0,5701841035633.0,433327192582.0,750737174268.0,0.0,1336569.2,260553.33333333334,1184064366850.0
494,2022-03-09,1974610252878.0,1257188803785.0,5160136189940.0,495182541195.0,1479427711683.0,0.0,1348303.3,257096.66666666666,1974610252878.0
495,2022-03-12,2134473703148.0,1321635914723.0,5890365519676.0,549521545119.0,1584952158029.0,0.0,1332933.3,260073.33333333334,2134473703148.0
496,2022-03-13,2027122251212.0,1092908933106.0,5191292273080.0,688222045524.0,1338900205688.0,0.0,1335376.4,263573.3333333333,2027122251212.0
